,departement,total_pop,total_pop_hommes,total_pop_femmes,total_pop_0_14,total_pop_15_29,total_pop_30_44,total_pop_45_59,total_pop_60_74,total_pop_75_89,total_pop_90_plus
25,25,541454,264925.394974,276528.605026,99538.723898,100005.869604,100681.933995,103862.711084,87590.312381,43549.185186,6225.263851
26,26,514732,249381.978741,265350.021259,94999.131516,79015.881454,92598.583862,104232.412036,91659.734725,45380.64089,6845.615518
27,27,599962,292428.494334,307533.505666,117371.458994,93742.40847,113017.531173,123033.938785,102497.190444,43978.568907,6320.903227
28,28,431997,211158.424573,220838.575427,83690.019214,66145.328827,79378.296255,87990.020989,73580.338603,35286.905666,5926.090446
29,29,911735,443048.287058,468686.712942,150350.055566,146094.086381,157141.066975,186476.575006,172281.445907,86924.345621,12467.424543
30,30,745458,359155.218416,386302.781584,127552.942657,115742.487041,127545.828178,153614.612891,142558.629974,68136.958799,10306.540461
31,31,1380672,672766.843234,707905.156766,242370.494298,292296.878743,280823.654211,265541.294594,191862.971887,92604.348124,15172.358142
32,32,191283,93289.038041,97993.961959,28928.886199,24110.387527,29867.77286,41498.265786,40518.04249,22371.208632,3988.436506
33,33,1601845,767951.50323,833893.49677,272699.132139,302181.851278,312945.94123,314436.062498,256845.103051,121948.681846,20788.227957
34,34,1159220,553628.948782,605591.051218,193598.714699,217308.785091,208854.850715,220783.713007,203666.984578,99624.768698,15382.183212
35,35,1069228,521988.016256,547239.983744,200732.531581,207840.083997,205662.26292,205831.423053,157123.294971,79541.628322,12496.775156
36,36,220595,106525.10613,114069.89387,32957.775097,29817.64252,33985.327655,46224.570477,47016.230537,26287.139404,4306.31431
37,37,607760,292286.118086,315473.881914,103951.162069,107991.201871,107690.435799,119466.61108,105453.930691,54056.37594,9150.282551
38,38,1263563,619010.940996,644552.059004,240561.210141,228597.084262,239307.828664,252368.688016,194934.402468,94032.777858,13761.008591
39,39,259746,126775.568571,132970.431429,44222.784209,38507.657381,44524.455685,54352.993742,48738.370973,25144.108357,4255.629653
40,40,410355,198928.087892,211426.912108,65293.38655,54742.65221,71558.539848,87093.511032,83700.654155,41529.755996,6436.500209
41,41,330248,160331.848777,169916.151223,56082.679968,47079.511016,54868.299048,67853.300018,64095.859452,34315.696359,5952.654138
42,42,763441,369110.840651,394330.159349,138450.306979,129034.312708,132443.922025,147004.782224,133306.324774,71473.504043,11727.847248
43,43,227552,111795.789786,115756.210214,38080.840602,32551.094387,38192.780227,47872.173072,44808.818038,22373.719673,3672.574002
44,44,1412502,686242.510432,726259.489568,268527.866631,258862.584402,277678.970345,271890.593673,217132.692467,102193.520165,16215.772318
45,45,678845,330617.833022,348227.166978,129708.16068,115769.047022,124635.030806,132861.085196,112336.069876,54817.9093,8717.69712
46,46,173929,84468.563164,89460.436836,24405.287001,21483.917343,26043.519489,36576.027694,40377.942959,21330.106399,3712.199114
